,features,f_coef
882,and wonder,-0.012737371903610956
883,and wont,0.04641781489629537
884,and work,-0.03456750011518632
885,and worry,-0.0022308533094046665
886,and worse,0.0348419472066301
887,and worthless,-0.016214467368002115
888,and would,0.043796462767047364
889,and wouldnt,-0.036221767552573086
890,and yet,-0.01675003347723334
891,and you,0.03982461145251312
892,and your,-0.04299571234136218
893,andor,-0.00162881233918203
894,anger,0.056516900260750236
895,anger and,-0.011195284463246042
896,angry,-0.07928508078137485
897,angry and,-0.029526957907767253
898,angry at,0.0636310987268156
899,angry that,0.014485217469998727
900,angry with,-0.04170312874321581
901,animals,-0.017672304390196965
902,annoyed,0.029403787914941592
903,annoying,0.030438948451989203
904,another,0.03320472310029388
905,another day,0.03309420054340593
906,another girl,-0.007239181008054305
907,another job,0.006634230324604269
